time,street,level,median_length,median_delay,median_speed_kmh,total_records,median_level,day,hours,day_of_week,hour_of_day,street_category,level_category,day_part
2022-07-06 00:00:00,Jenderal Ahmad Yani,4,428.0,201.5,6.29,14,4.0,Wednesday,0,2,0,3,3,Midnight
2022-07-06 00:00:00,Cibaduyut Raya,5,24.0,-1.0,0.0,60,5.0,Wednesday,0,2,0,0,4,Midnight
2022-07-06 00:00:00,Ir Haji Juanda,2,1234.0,105.5,17.535,12,2.0,Wednesday,0,2,0,1,1,Midnight
2022-07-06 00:00:00,Ir Haji Juanda,3,786.0,118.5,14.365,8,3.0,Wednesday,0,2,0,1,2,Midnight
2022-07-06 00:00:00,Jenderal Ahmad Yani,3,863.0,215.0,9.88,1,3.0,Wednesday,0,2,0,3,2,Midnight
2022-07-06 00:00:00,KH Wahid Hasyim,5,28.0,-1.0,0.0,240,5.0,Wednesday,0,2,0,5,4,Midnight
2022-07-06 00:00:00,Jenderal Ibrahim Adjie,2,299.0,62.0,8.77,7,2.0,Wednesday,0,2,0,4,1,Midnight
2022-07-06 01:00:00,Cibaduyut Raya,5,24.0,-1.0,0.0,61,5.0,Wednesday,1,2,0,0,4,Midnight
2022-07-06 01:00:00,KH Wahid Hasyim,5,28.0,-1.0,0.0,244,5.0,Wednesday,1,2,0,5,4,Midnight
2022-07-06 02:00:00,KH Wahid Hasyim,5,28.0,-1.0,0.0,240,5.0,Wednesday,2,2,0,5,4,Midnight
2022-07-06 02:00:00,Jenderal Ibrahim Adjie,1,1614.0,74.0,25.31,1,1.0,Wednesday,2,2,0,4,0,Midnight
2022-07-06 02:00:00,Cibaduyut Raya,5,24.0,-1.0,0.0,60,5.0,Wednesday,2,2,0,0,4,Midnight
2022-07-06 03:00:00,Cibaduyut Raya,5,24.0,-1.0,0.0,60,5.0,Wednesday,3,2,0,0,4,Midnight
2022-07-06 03:00:00,Jenderal Ibrahim Adjie,1,1614.0,72.5,25.439999,8,1.0,Wednesday,3,2,0,4,0,Midnight
2022-07-06 03:00:00,KH Wahid Hasyim,5,28.0,-1.0,0.0,240,5.0,Wednesday,3,2,0,5,4,Midnight
2022-07-06 03:00:00,N11 Soekarno-Hatta,1,2550.0,60.0,41.82,1,1.0,Wednesday,3,2,0,7,0,Midnight
2022-07-06 04:00:00,KH Wahid Hasyim,5,28.0,-1.0,0.0,240,5.0,Wednesday,4,2,0,5,4,Midnight
2022-07-06 04:00:00,Jenderal Ahmad Yani,4,297.0,130.5,6.6949997,2,4.0,Wednesday,4,2,0,3,3,Midnight
2022-07-06 04:00:00,Jenderal Ahmad Yani,3,297.0,126.0,6.89,5,3.0,Wednesday,4,2,0,3,2,Midnight
2022-07-06 04:00:00,Ir Haji Juanda,3,1114.0,79.0,18.99,3,3.0,Wednesday,4,2,0,1,2,Midnight
2022-07-06 04:00:00,Ir Haji Juanda,2,556.0,64.0,13.65,2,2.0,Wednesday,4,2,0,1,1,Midnight
2022-07-06 04:00:00,Cibaduyut Raya,5,24.0,-1.0,0.0,60,5.0,Wednesday,4,2,0,0,4,Midnight
2022-07-06 05:00:00,Cibaduyut Raya,5,24.0,-1.0,0.0,60,5.0,Wednesday,5,2,1,0,4,Morning
2022-07-06 05:00:00,KH Wahid Hasyim,5,28.0,-1.0,0.0,240,5.0,Wednesday,5,2,1,5,4,Morning
2022-07-06 05:00:00,N11 Soekarno-Hatta,4,162.0,128.0,3.98,2,4.0,Wednesday,5,2,1,7,3,Morning
